id;Date;Open;High;Low;Close;Volume;ccode
0;2020-12-31;167.1474353;167.8674018;166.2450748;167.7906036;1841300;MMM
1;2021-01-04;167.9921987;169.1441423;163.7204;164.9875336;2996200;MMM
2;2021-01-05;165.1218954;166.3122452;163.8163557;164.7091217;2295300;MMM
3;2021-01-06;165.8034945;168.5393732;165.1507173;167.2146301;3346400;MMM
4;2021-01-07;164.6899442;166.5138682;159.5061909;162.9236298;5863400;MMM
5;2021-01-08;162.3956275;162.7508062;158.0182339;159.9477386;4808100;MMM
6;2021-01-11;159.4485939;160.446941;158.3926371;158.5846252;2736600;MMM
7;2021-01-12;159.2565897;160.4853314;157.5094786;159.8421631;2949100;MMM
8;2021-01-13;160.5717448;161.022925;159.400598;159.6213837;2098000;MMM
9;2021-01-14;160.5717476;160.65814;158.6134303;159.7461853;2895400;MMM
10;2021-01-15;158.9974067;159.6021686;156.8375072;158.9206085;3550700;MMM
11;2021-01-19;160.5621235;162.7604294;160.1205522;162.347641;3903200;MMM
12;2021-01-20;162.2708552;163.7491948;161.6852819;163.4036102;2672300;MMM
13;2021-01-21;163.4036095;164.622757;162.6068448;163.8355865;2688200;MMM
14;2021-01-22;163.3843952;163.3843952;160.5429356;162.2708435;2349300;MMM
15;2021-01-25;162.1172604;165.5826998;161.4932807;163.5667877;3353100;MMM
16;2021-01-26;166.8210429;169.758504;165.1891217;168.9041443;5148900;MMM
17;2021-01-27;170.2096943;179.7708568;170.0657068;179.1756744;8097000;MMM
18;2021-01-28;177.5917281;179.1084592;175.268638;176.0749969;4153700;MMM
19;2021-01-29;174.9902729;175.6526445;167.8674052;168.6257782;4217200;MMM
20;2021-02-01;168.9233559;170.0177044;167.003445;167.7042084;2569700;MMM
21;2021-02-02;169.1921394;170.4208811;167.8482077;168.0113983;2844400;MMM
22;2021-02-03;168.3569552;170.3344606;166.6002353;168.4529419;2874200;MMM
23;2021-02-04;168.7505486;170.1904816;168.4817622;170.0081024;1833000;MMM
24;2021-02-05;170.4880575;172.0527746;169.624089;171.8415833;1822400;MMM
25;2021-02-08;172.1200035;173.6271258;171.9952046;173.5215302;2355100;MMM
26;2021-02-09;173.963107;174.6158696;172.9647452;173.6943207;1942800;MMM
27;2021-02-10;174.596672;175.0766496;173.4063222;173.8287048;1929000;MMM
28;2021-02-11;173.5867506;174.0997183;170.1895319;171.5155182;2188400;MMM
29;2021-02-12;171.5736004;173.0931422;171.5155308;172.9576416;1081500;MMM
30;2021-02-16;173.2480001;173.91583;170.6541265;170.9541626;1834000;MMM
31;2021-02-17;170.3927848;171.6026171;169.5120234;170.9734955;1578100;MMM
32;2021-02-18;171.5542235;173.8964571;170.4895651;173.6060944;2087100;MMM
33;2021-02-19;173.7996976;174.9611338;170.5379793;170.8670502;2986800;MMM
34;2021-02-22;170.7896111;171.3993566;169.3861938;170.4605255;2271500;MMM
35;2021-02-23;171.8348979;171.8348979;169.0958505;170.5089264;2352300;MMM
36;2021-02-24;170.3444014;172.2607718;168.1763764;171.9220276;2742600;MMM
37;2021-02-25;171.815557;174.9417597;171.7284379;173.0157013;2634300;MMM
38;2021-02-26;173.6738425;173.6835159;168.9990489;169.4345856;3363300;MMM
39;2021-03-01;170.0540501;171.7962118;170.0540501;170.7412415;1840000;MMM
40;2021-03-02;171.3122811;172.0768887;169.1732908;171.4187469;2272400;MMM
41;2021-03-03;171.7284356;174.2352194;171.1186901;172.3381958;2267800;MMM
42;2021-03-04;173.5286738;174.3900739;168.4764273;171.9220276;3535700;MMM
43;2021-03-05;172.7156522;175.7257155;171.2638535;174.9901428;2262800;MMM
44;2021-03-08;175.1740496;179.7326896;175.1159653;177.8647156;2574900;MMM
45;2021-03-09;177.6033967;178.2325036;175.2030934;175.3579407;2842100;MMM
46;2021-03-10;176.5097002;179.422986;175.5805572;178.5809326;2370700;MMM
47;2021-03-11;177.2452784;179.1229405;176.2483777;178.6390076;2377300;MMM
48;2021-03-12;179.6455825;180.2263079;178.3486458;178.9777527;2691600;MMM
49;2021-03-15;180.0520858;183.5364088;179.7423764;183.3912201;3300000;MMM
50;2021-03-16;181.9587888;182.4040136;180.0036955;180.8457489;2264000;MMM
51;2021-03-17;181.3103144;183.8848412;181.0393132;182.2491455;2585100;MMM
52;2021-03-18;182.5395088;185.9173512;182.5395088;184.862381;3050500;MMM
53;2021-03-19;184.4752468;184.8623873;182.6266194;182.6459808;6678900;MMM
54;2021-03-22;182.210437;183.6622359;181.0006046;183.3815613;2605300;MMM
55;2021-03-23;182.7040463;185.5495744;181.861993;182.278183;2768700;MMM
56;2021-03-24;182.3749611;186.5464754;182.0362169;184.5623474;2829200;MMM
57;2021-03-25;185.4818069;187.1465373;184.0590429;186.8948975;2221000;MMM
58;2021-03-26;186.8077871;188.6854492;186.0335062;188.6177063;2677600;MMM
59;2021-03-29;187.3981875;190.3985777;187.2917217;189.4500732;2601800;MMM
60;2021-03-30;188.7144926;190.3114802;187.649849;188.3854218;1876700;MMM
61;2021-03-31;187.7079239;188.1821687;185.8786578;186.4884033;2426900;MMM
62;2021-04-01;187.0400807;187.688549;184.7075203;186.5077515;1902100;MMM
63;2021-04-05;187.6595218;189.6533232;187.485313;188.7048187;1963000;MMM
64;2021-04-06;188.7338416;189.3242403;187.7563024;188.5789795;1472700;MMM
65;2021-04-07;187.9208478;189.0726105;187.6885546;188.6854553;1501500;MMM
66;2021-04-08;188.1724964;190.3501948;187.7950293;189.4307251;2391800;MMM
67;2021-04-09;189.7597889;192.5666089;189.7597889;191.6374512;2159600;MMM
68;2021-04-12;191.831006;192.8859762;190.7276396;191.4729004;1682100;MMM
69;2021-04-13;189.7114066;190.9889968;189.091973;190.1566315;2259700;MMM
70;2021-04-14;189.2661762;191.0470459;188.7532085;190.4276123;1575000;MMM
71;2021-04-15;190.9405698;191.4535375;189.6145983;191.13414;1461600;MMM
72;2021-04-16;192.3343074;193.253777;191.6180813;192.1988068;2769500;MMM
73;2021-04-19;191.7439246;192.3052886;190.3501952;192.2084961;2200500;MMM
74;2021-04-20;192.5472289;192.9440575;191.0954302;191.9277954;1653100;MMM
75;2021-04-21;191.9278006;195.0249683;191.753577;194.4248962;2649000;MMM
76;2021-04-22;194.2216546;195.6734535;193.747395;194.4442596;2215800;MMM
77;2021-04-23;194.5410328;196.6316266;194.5313595;195.7024689;1864100;MMM
78;2021-04-26;196.4574145;196.4671026;193.1666764;193.2150726;2578900;MMM
79;2021-04-27;185.3559947;189.5662173;182.5685509;188.2015228;5225000;MMM
80;2021-04-28;188.7338335;190.9696012;188.5499367;189.6339417;2516900;MMM
81;2021-04-29;190.4856769;193.0021341;189.9630359;192.6537018;1887000;MMM
82;2021-04-30;191.3083786;192.5956421;189.827545;190.8050842;2507100;MMM
83;2021-05-03;191.6277569;193.0601942;190.3404936;192.227829;1779800;MMM
84;2021-05-04;192.1117139;193.1473228;191.1922295;192.973114;1879000;MMM
85;2021-05-05;193.5731593;195.2378897;191.5212886;194.9668884;2018500;MMM
86;2021-05-06;194.8120381;196.0025089;194.0183957;195.9057312;1840600;MMM
87;2021-05-07;195.8089529;197.3188213;194.773344;196.5445404;1843600;MMM
88;2021-05-10;198.4125038;202.235571;197.5027075;200.6676331;3212700;MMM
89;2021-05-11;199.9611036;200.2611396;195.8960549;197.173645;2552500;MMM
90;2021-05-12;197.0478049;197.1542708;192.3826992;192.4794769;2230600;MMM
91;2021-05-13;192.2568719;197.4833416;192.0149055;196.8735962;1684300;MMM
92;2021-05-14;197.4446452;198.5286503;196.4864526;197.812439;1475400;MMM
93;2021-05-17;198.0253756;198.7512751;197.1446141;198.5189819;1532700;MMM
94;2021-05-18;198.4028219;198.586704;196.2928667;196.5057983;1771800;MMM
95;2021-05-19;195.4218003;196.1864079;192.9247046;196.0896301;2220200;MMM
96;2021-05-20;196.0603628;197.1328557;195.4851233;196.6063538;1412500;MMM
97;2021-05-21;196.6648692;198.663583;196.0506219;196.8111115;1537200;MMM
98;2021-05-24;197.7276085;198.4296012;196.8696142;197.5423584;1529200;MMM
99;2021-05-25;197.7763725;197.9226148;196.3333792;196.6648865;1519400;MMM
100;2021-05-26;196.1676162;196.7428556;195.2901328;196.5381165;1847300;MMM
101;2021-05-27;197.9225984;198.8780827;197.5520982;198.156601;2457600;MMM
102;2021-05-28;198.780595;199.2778336;197.727606;197.9615936;1741200;MMM
103;2021-06-01;199.8530773;199.9603266;197.4838631;198.1175995;1567300;MMM
104;2021-06-02;198.6343347;198.8683372;197.2986057;198.2053375;1877400;MMM
105;2021-06-03;197.435117;199.5508397;196.7623727;198.5758514;1902100;MMM
106;2021-06-04;199.0048522;200.9645732;198.6733598;200.8963318;1868600;MMM
107;2021-06-07;201.1888175;201.6373038;198.2248451;198.6343384;1531100;MMM
108;2021-06-08;196.9476208;198.9365902;196.1091303;198.4978485;1701400;MMM
109;2021-06-09;198.4685957;198.4783552;196.8891196;197.6691132;1707600;MMM
110;2021-06-10;199.0438395;199.8433369;197.7081104;198.0493622;1953100;MMM
111;2021-06-11;198.6636016;199.7750876;196.4796374;197.7373657;1696300;MMM
112;2021-06-14;197.2303402;198.4978277;195.4071172;196.3236084;1745900;MMM
113;2021-06-15;196.752615;196.8111119;194.5393877;195.5923767;1709900;MMM
114;2021-06-16;195.5534001;195.9628934;191.8874348;191.9849396;2219700;MMM
115;2021-06-17;191.8776697;192.5601584;188.1727118;190.2591858;2584900;MMM
116;2021-06-18;188.2117097;188.7284671;186.7394829;186.8077393;5054600;MMM
117;2021-06-21;188.7479626;191.7119351;188.7479626;190.3274536;2528400;MMM
118;2021-06-22;189.878941;191.1464286;189.2452047;190.2591858;1772600;MMM
119;2021-06-23;189.9276948;190.5321827;187.4707205;187.5487213;2976500;MMM
120;2021-06-24;188.4652316;188.8942288;186.8467476;188.4262238;2191800;MMM
121;2021-06-25;188.5822159;190.444447;188.4652221;189.878952;6175500;MMM
122;2021-06-28;190.8636932;191.9946831;189.527964;191.5851898;2100500;MMM
123;2021-06-29;191.2926841;192.8819196;190.8246939;191.1269379;1858000;MMM
124;2021-06-30;191.0001825;194.003148;190.6491862;193.661911;2592000;MMM
125;2021-07-01;194.461409;194.6759076;192.8039319;194.1104126;1857900;MMM
126;2021-07-02;193.7594062;195.2803855;192.9891721;194.8903961;1612900;MMM
127;2021-07-06;191.4974486;192.8331778;189.8887091;191.9654388;2546400;MMM
128;2021-07-07;191.2244431;195.0561397;191.2244431;194.861145;1695000;MMM
129;2021-07-08;193.5351562;194.5588968;192.3846773;193.3109131;2167100;MMM
130;2021-07-09;194.7051381;196.8501092;194.2663964;195.9726257;2446100;MMM
131;2021-07-12;193.1451514;196.421112;192.9501418;194.9781189;2164000;MMM
132;2021-07-13;195.0854007;196.0993969;194.1689094;194.607666;1688300;MMM
133;2021-07-14;195.5631278;198.0980881;195.0073774;197.7568512;2457700;MMM
134;2021-07-15;196.3918678;197.6983633;195.5143843;197.5228577;2138700;MMM
135;2021-07-16;198.0395981;198.1273583;193.9349061;194.3833923;2474100;MMM
136;2021-07-19;192.8429107;193.5741519;190.2299495;192.6186676;3146300;MMM
137;2021-07-20;193.379153;197.1621119;193.1159169;195.7971344;2783300;MMM
138;2021-07-21;196.0993942;197.8056237;194.9586597;195.7483978;1999100;MMM
139;2021-07-22;196.4698552;196.6063529;193.7106369;194.0908966;1700500;MMM
140;2021-07-23;195.4948766;196.0116192;193.9641529;195.4753876;1570700;MMM
141;2021-07-26;195.4363829;197.6691143;194.9293849;196.6258698;2409200;MMM
142;2021-07-27;192.2774306;196.0311263;190.0349548;195.4558868;2999900;MMM
143;2021-07-28;194.3346595;195.3583853;193.1451727;193.3206635;2139100;MMM
144;2021-07-29;194.9976396;194.9976396;192.9891663;193.2134094;2120200;MMM
145;2021-07-30;193.0476479;194.2566385;192.2676544;192.989151;1910300;MMM
