dt;dt_iso;timezone;city_name;lat;lon;temp;visibility;dew_point;feels_like;temp_min;temp_max;pressure;sea_level;grnd_level;humidity;wind_speed;wind_deg;wind_gust;rain_1h;rain_3h;snow_1h;snow_3h;clouds_all;weather_id;weather_main;weather_description;weather_icon
1514764800;2018-01-01 00:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;14.63;10000;5.96;13.61;13.77;17.54;1018;;;56;9.3;290;14.4;;;;;20;801;Clouds;few clouds;02n
1514768400;2018-01-01 01:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;13.31;10000;3.67;12.05;11.67;13.4;1019;;;52;6.7;310;;;;;;20;801;Clouds;few clouds;02n
1514772000;2018-01-01 02:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;12.35;10000;3.83;11.1;9.67;12.6;1020;;;56;6.7;320;;;;;;20;801;Clouds;few clouds;02n
1514775600;2018-01-01 03:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;10.77;10000;1.05;9.23;9.67;10.78;1021;;;51;7.72;320;;;;;;20;801;Clouds;few clouds;02n
1514779200;2018-01-01 04:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;11.96;10000;2.69;10.6;9.67;12;1022;;;53;8.75;310;;;;;;20;801;Clouds;few clouds;02n
1514782800;2018-01-01 05:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;11.11;10000;1.9;9.66;9.67;14.34;1023;;;53;7.2;310;;;;;;20;801;Clouds;few clouds;02n
1514786400;2018-01-01 06:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;11.07;10000;1.86;9.62;9.67;13.34;1024;;;53;5.7;310;;;;;;20;801;Clouds;few clouds;02n
1514790000;2018-01-01 07:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;11.31;10000;2.09;9.88;8.67;11.4;1025;;;53;6.7;290;;;;;;20;801;Clouds;few clouds;02n
1514793600;2018-01-01 08:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;11.26;10000;2.56;9.88;8.67;11.5;1025;;;55;6.7;320;;;;;;20;801;Clouds;few clouds;02d
1514797200;2018-01-01 09:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;11.27;10000;-0.19;9.63;10.67;11.78;1026;;;45;7.2;320;13.4;;;;;20;801;Clouds;few clouds;02d
1514800800;2018-01-01 10:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;13.05;10000;2.3;11.66;11.67;13.78;1027;;;48;10.29;320;;;;;;20;801;Clouds;few clouds;02d
1514804400;2018-01-01 11:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;14.19;10000;2.12;12.81;12.67;14.78;1026;;;44;6.1;300;11.6;;;;;20;801;Clouds;few clouds;02d
1514808000;2018-01-01 12:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.35;10000;4.11;14.17;13.67;15.6;1025;;;47;11.32;240;;;;;;20;801;Clouds;few clouds;02d
1514811600;2018-01-01 13:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.61;10000;4.94;14.51;13.67;15.9;1024;;;49;10.8;230;;;;;;20;801;Clouds;few clouds;02d
1514815200;2018-01-01 14:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.74;10000;4.16;14.57;14.67;15.9;1023;;;46;9.8;250;;;;;;20;801;Clouds;few clouds;02d
1514818800;2018-01-01 15:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.77;10000;-0.04;14.29;14.67;15.78;1023;;;34;9.3;260;;;;;;20;801;Clouds;few clouds;02d
1514822400;2018-01-01 16:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.48;10000;2.64;14.18;13.67;15.6;1022;;;42;8.8;260;13.9;;;;;20;801;Clouds;few clouds;02d
1514826000;2018-01-01 17:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.17;10000;4.25;14;13.67;15.4;1021;;;48;7.72;220;;;;;;20;801;Clouds;few clouds;02n
1514829600;2018-01-01 18:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.26;10000;3.09;13.99;13.67;15.5;1021;;;44;6.7;240;;;;;;20;801;Clouds;few clouds;02n
1514833200;2018-01-01 19:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;15.92;10000;4.33;14.77;14.67;16.1;1021;;;46;8.8;280;14.9;;;;;20;801;Clouds;few clouds;02n
1514836800;2018-01-01 20:00:00 +0000 UTC;3600;Barcelona;41.387397;2.168568;14.78;10000;4.47;13.62;12.67;19.54;1021;;;50;10.29;290;;;;;;20;801;Clouds;few clouds;02n
